posting_id,posting_title_j,posting_title_s,company_name_j,company_name_s,company_name_clean_j,company_name_clean_s,job_category,job_category_kor,posting_tech_stack,experience_j,experience_s,education_j,education_s,employment_type,salary,position,company_keywords_jumpit,company_tech_stack,company_type,industry,start_datetime,end_datetime,posting_views_total,applicants_total,exp_min,exp_max,edu_category
51746001,3D Scanning Application 개발(for iPad),3D Scanning Application 개발(for iPad),메디트,(주)메디트,메디트,메디트,1,서버/백엔드 개발자,SwiftUI;Xcode;vscode.dev,경력 1~10년,경력 1~10년,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,회사내규에 따름,"","연봉상승률 10% 이상;평균연봉 상위 10%;급성장중;장기근속 포상;MBK파트너스 계열사;매출액 1000억 기업;9호선 역세권 기업;유연근무제;평균연봉 7,000 이상",C#;AI/인공지능;Qt;Xcode;Babel;CMake;DeepLearning;Spark Framework;Windows;iOS;rollup;TypeScript;QA;Backendless;REST API;JavaScript;TCP/IP;Productboard;Embedded;vscode.dev;macOS;Flask;WebGL;Java;CSS 3;C++;Mac OS X;SW;AWS CloudTrail;Google Cloud Platform;OpenGL;Embedded Linux;SwiftUI;Vite;React;WebSocket;CUDA;Vue.js;Git;Linux;React D3 Library;HTML5;Spring Framework;Transformers;FastAPI;Swift;Webpack,중견기업;주식회사;병역특례 인증업체;수출입 기업,기타 주변기기 제조업,2025.09.06 00:00,2025.10.05 23:59,39,,1,10,대졸(예정)
51746001,3D Scanning Application 개발(for iPad),3D Scanning Application 개발(for iPad),메디트,(주)메디트,메디트,메디트,3,웹 풀스택 개발자,SwiftUI;Xcode;vscode.dev,경력 1~10년,경력 1~10년,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,회사내규에 따름,"","연봉상승률 10% 이상;평균연봉 상위 10%;급성장중;장기근속 포상;MBK파트너스 계열사;매출액 1000억 기업;9호선 역세권 기업;유연근무제;평균연봉 7,000 이상",C#;AI/인공지능;Qt;Xcode;Babel;CMake;DeepLearning;Spark Framework;Windows;iOS;rollup;TypeScript;QA;Backendless;REST API;JavaScript;TCP/IP;Productboard;Embedded;vscode.dev;macOS;Flask;WebGL;Java;CSS 3;C++;Mac OS X;SW;AWS CloudTrail;Google Cloud Platform;OpenGL;Embedded Linux;SwiftUI;Vite;React;WebSocket;CUDA;Vue.js;Git;Linux;React D3 Library;HTML5;Spring Framework;Transformers;FastAPI;Swift;Webpack,중견기업;주식회사;병역특례 인증업체;수출입 기업,기타 주변기기 제조업,2025.09.06 00:00,2025.10.05 23:59,39,,1,10,대졸(예정)
51704621,AI Artist / Software Engineer / Full Stack,AI Artist / Software Engineer / Full Stack,블루개러지,(주)블루개러지,블루개러지,블루개러지,1,서버/백엔드 개발자,AWS;GCP,경력 3~15년,경력 3~15년,무관,학력무관,정규직,면접 후 결정,"","연봉상승률 20% 이상;매출액 500억 기업;급성장중;제이와이피엔터테인먼트 계열사;5호선 역세권 기업;유연근무제;매출액 20% 지속성장;평균연봉 6,000 이상",PostgreSQL;OpenGL;GraphQL;GraphicsMagick;React;Linear;Vulkan;TypeScript;PyTorch;GCP;Django;MySQL;3D Rendering;Pandas;React Native;AWS;Python,중소기업,그 외 기타 상품 전문 도매업,2025.09.01 00:00,2025.09.30 23:59,38,2,3,15,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정)
51704621,AI Artist / Software Engineer / Full Stack,AI Artist / Software Engineer / Full Stack,블루개러지,(주)블루개러지,블루개러지,블루개러지,2,프론트엔드 개발자,AWS;GCP,경력 3~15년,경력 3~15년,무관,학력무관,정규직,면접 후 결정,"","연봉상승률 20% 이상;매출액 500억 기업;급성장중;제이와이피엔터테인먼트 계열사;5호선 역세권 기업;유연근무제;매출액 20% 지속성장;평균연봉 6,000 이상",PostgreSQL;OpenGL;GraphQL;GraphicsMagick;React;Linear;Vulkan;TypeScript;PyTorch;GCP;Django;MySQL;3D Rendering;Pandas;React Native;AWS;Python,중소기업,그 외 기타 상품 전문 도매업,2025.09.01 00:00,2025.09.30 23:59,38,2,3,15,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정)
51768990,Backend 개발자,Backend 개발자,스마트푸드네트웍스,스마트푸드네트웍스(주),스마트푸드네트웍스,스마트푸드네트웍스,1,서버/백엔드 개발자,Java;Kotlin;Spring;QueryDSL;AWS;Git;Jira;Confluence,경력 5~15년,경력 5~15년,무관,학력무관,정규직,회사내규에 따름,"","연봉상승률 10% 이상;급성장중;자유로운 연차;3호선 역세권 기업;평균연봉 6,000 이상",Java;QueryDSL;Next.js;Spring;Jira;SQL;Kotlin;pnpm;React Query;Jotai;TypeScript;R;Git;Confluence;TailwindCSS;AWS;Webpack;Python,중견기업;주식회사,"화물운송 중개, 대리 및 관련 서비스업",2025.09.08 00:00,2025.10.07 23:59,114,25,5,15,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정)
51583665,백엔드 경력 채용 (6~9년),백엔드 경력 채용 (6~9년),텐빌리언,텐빌리언,텐빌리언,텐빌리언,1,서버/백엔드 개발자,Git;SpringBoot;DB,경력 6~9년,경력 6~9년,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,면접 후 결정,"",장기근속 포상;자유로운 연차;점심지원,CSS 3;Spring Boot;iOS;React;REST API;jQuery;Git;HTML5;JavaScript;Network;PHP;Flutter;Android OS;AWS;DB,"",쇼핑몰·오픈마켓,2025.08.18 00:00,2025.09.16 23:59,170,2,6,9,대졸(예정)
51692814,시니어 백엔드 개발자(5년 이상),시니어 백엔드 개발자(5년 이상),더스윙,(주)더스윙,더스윙,더스윙,1,서버/백엔드 개발자,SpringBoot;SpringDataJPA;Java;Kotlin,경력 5~15년,경력 5~15년,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,회사내규에 따름,"",연봉상승률 20% 이상;매출액 500억 기업;주거복지;급성장중;4호선 역세권 기업;유연근무제;점심지원;시리즈A 투자유치;예비 유니콘,Jetpack Compose;Router;FLEX;Flutter;Coroutine;Swift;iOS;Android OS;Rxswift;fastlane;Dart;Java;Spring Boot;Spring Data JPA;Kotlin,중소기업;외국인 투자기업;주식회사;연구소;병역특례 인증업체,응용 소프트웨어 개발 및 공급업,2025.08.29 00:00,2025.09.27 23:59,140,28,5,15,대졸(예정)
51706467,백엔드 엔지니어,백엔드 엔지니어,스패로우,(주)스패로우,스패로우,스패로우,1,서버/백엔드 개발자,Java;SQL;AWS;RDB;SpringFramework;RESTAPI,경력 5~10년,경력 5~10년,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,회사내규에 따름,"",주거복지;매출액 100억 기업;파수 계열사;재택근무;경의선 역세권 기업,Airflow;C#;PostgreSQL;GitHub;Kafka;RDB;REST API;Docker;Terraform;MySQL;AWS;Spring Data JPA;Python;Java;C++;Scala;JSP;Redis;SQL;Kotlin;Apache Spark;Spring Framework;Spark;DB;Kubernetes,중소기업;주식회사,응용 소프트웨어 개발 및 공급업,2025.09.02 00:00,2025.10.01 23:59,206,34,5,10,대졸(예정)
51781050,JAVA 개발자 채용,JAVA 개발자 채용,소프트넷,(주)소프트넷,소프트넷,소프트넷,1,서버/백엔드 개발자,Java;JavaScript;Angular2;React;Vue.js;Spring;SQL;RESTAPI;Docker,경력 3~10년,경력 3~10년,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,회사내규에 따름,"","연봉상승률 10% 이상;평균연봉 상위 10%;스타트업;9호선 역세권 기업;평균연봉 7,000 이상",Java;Windows Server;Windows;Spring;React;SQL;Azure Synapse;AZURE;Vue.js;REST API;Docker;JavaScript;Azure DevOps;Angular 2,스타트업;중소기업;주식회사,컴퓨터시스템 통합 자문 및 구축 서비스업,2025.09.09 00:00,2025.10.08 23:59,102,22,3,10,초대졸(예정)
51686619,서버 및 인프라 개발자 (11년 ~ 15년),서버 및 인프라 개발자 (11년 ~ 15년),데이터메이커,(주)데이터메이커,데이터메이커,데이터메이커,1,서버/백엔드 개발자,Terraform;Pulumi;Golang;Argo;Linux;Ansible;Python;Shell;GitHubActions,경력 11~15년,경력 11~15년,"대학교졸업(4년) 이상
(졸업예정자 가능)",대졸(4년제) 이상(예정자 가능),정규직,회사내규에 따름,"",급성장중;휴가비 지원;프리한 복장;재택근무;유연근무제;성과급/상여금,Golang;AngularJS;scikit-learn;Babel;GitHub;PostgreSQL;ES6;three.js;REST API;Shell;PyTorch;GitHub Actions;Docker;Terraform;Django REST framework;JavaScript;MySQL;Oracle;Python;Ubuntu;CSS 3;Rust;Argo;Redis;Nuxt.js;Node.js;Spring;Pulumi;React;Rails;Vue.js;Git;Linux;Django;TailwindCSS;Ansible;HTML5;Keras;GoLand;Webpack;Kubernetes,중소기업,전기ㆍ전자공학 연구개발업,2025.09.01 00:00,2025.09.30 23:59,42,2,11,15,대졸(예정)
51686619,서버 및 인프라 개발자 (11년 ~ 15년),서버 및 인프라 개발자 (11년 ~ 15년),데이터메이커,(주)데이터메이커,데이터메이커,데이터메이커,9,DevOps/시스템 엔지니어,Terraform;Pulumi;Golang;Argo;Linux;Ansible;Python;Shell;GitHubActions,경력 11~15년,경력 11~15년,"대학교졸업(4년) 이상
(졸업예정자 가능)",대졸(4년제) 이상(예정자 가능),정규직,회사내규에 따름,"",급성장중;휴가비 지원;프리한 복장;재택근무;유연근무제;성과급/상여금,Golang;AngularJS;scikit-learn;Babel;GitHub;PostgreSQL;ES6;three.js;REST API;Shell;PyTorch;GitHub Actions;Docker;Terraform;Django REST framework;JavaScript;MySQL;Oracle;Python;Ubuntu;CSS 3;Rust;Argo;Redis;Nuxt.js;Node.js;Spring;Pulumi;React;Rails;Vue.js;Git;Linux;Django;TailwindCSS;Ansible;HTML5;Keras;GoLand;Webpack;Kubernetes,중소기업,전기ㆍ전자공학 연구개발업,2025.09.01 00:00,2025.09.30 23:59,42,2,11,15,대졸(예정)
