직무,비율,스킬
서버/백엔드 개발자,23.1391,SwiftUI;Xcode;vscode.dev;AWS;GCP;Java;Kotlin;Spring;QueryDSL;Git;Jira;Confluence;Spring Boot;DB;REST API;MVVM;Spring Data JPA;SQL;RDB;Spring Framework;PostgreSQL;Redis;Amazon EKS;Amazon SQS;JavaScript;Angular 2;React;Vue.js;Docker;Terraform;Pulumi;Golang;Argo;Linux;Ansible;Python;Shell;GitHub Actions;HW;SW;QA;Grafana;WebRTC;Selenium;Appium;NestJS;WebSocket;MongoDB;Notion;Slack;Backendless;MySQL;Node.js;TypeScript;Etl;Elasticsearch;MariaDB;Git Flow;Django;Celery;HTML5;CSS 3;Windows;Oracle;MSSQL;Django REST framework;Rails;C++;Hibernate;.NET;ExpressJS;GitHub;notion.so;FastAPI;Flask;SQLAlchemy;NoSql;Cassandra;Go;OLAP;K8S;Datadog;GraphQL;AZURE;TCP/IP;Apache HTTP Server;Akka HTTP;Windows Terminal;Kubernetes;RabbitMQ;PHP;Laravel;Jenkins;Sentry;Prometheus;JSP;Nexacro;jQuery;Eclipse;Ruby;C#;gRPC;Azure DevOps;C;Embedded;Router;Network;Embedded Linux;SAP;ABAP;Kafka;AIOHTTP;MCU;Asana;NGINX;RPA;Unity;Uniform CSS;Java 8;React.js Boilerplate;Next.js;AI/인공지능;Refactor.io;Microsoft Office 365;Kubeflow;Google Analytics;Microsoft Excel;AngularJS;Classic ASP;ASP.NET;Spring MVC;MQTT;Rust;OAuth2;JSON;XML;Blockchain;Solidity;GoLand;Mybatis;GitLab;AWS CloudFormation;ScrapingBot;Gradle;Spring Batch;Amazon RDS;ERP;AWS CodeCommit;JUnit;Amazon Aurora;Vite;Chakra UI;OpenStack;vmware;Red Hat OpenShift;Hack;Azure Security Center;ISMS;CISA;CISSP;iOS;Android OS;Mfc;VPN;FW;IPS;Snort;Travis CI;ES6;GCP IAM;Figma;Recoil;TailwindCSS;Linear;Framer;Vercel;PyTorch;TensorFlow;Sequelize;React Canvas;Swagger UI;MachineLearning;Lua;Nginx Proxy Manager;OpenResty;Electron;MSA;Tibero;TortoiseSVN;R Language;Vault;LDAP;Flutter;Bootstrap;OpenCV;InfluxDB;Dynamo;Druid;Ubuntu;OpenAPI;Envoy;Spring Security;Objective-C;pytest;DeepLearning;Coqui TTS;Prisma;Amazon ECR;Amazon S3;AWS Lambda;Amazon DynamoDB;AWS CodePipeline;L7;IntelliJ IDEA;Apache Tomcat;ELK;Bitbucket;CodeIgniter;Supabase;TypeORM;AWS Data Pipeline;Azure Cognitive Search;Azure Bot Service;Amazon Redshift;AWS CodeBuild;Bitbucket Pipelines;Blueprint;Unreal Engine;Netty;Spring Cloud;Fluentd
프론트엔드 개발자,15.2818,JavaScript;CSS 3;HTML5;Uniform CSS;ES6;Rust;three.js;Nuxt.js;TailwindCSS;Vue.js;GitHub;Node.js;TypeScript;React;Blockchain;PHP;Figma;jQuery;AWS;GCP;Redis;REST API;Next.js;Tailwind CSS;Git;Prettier;Amazon EC2;PostgreSQL;Amazon EKS;Amazon SQS;Jira;Jenkins;React Native;Infra;Create React Native App;Router;Webpack;Vite;ExpressJS;MySQL;Docker;Slack;notion.so;WebSocket;Chart.js;D3.js;Angular 2;Remix;Svelte;Notion;Adobe XD;Babel;AngularJS;Java;Kotlin;Spring Boot;OpenAPI;RDB;NoSql;MongoDB;RxJS;Sass;GitLab;iOS;Android OS;Firebase;Linux;Oracle;Spring;Eclipse;Spring Framework;DB;AI/인공지능;Refactor.io;SCSS;Azure DevOps;Backendless;GUI;IntelliJ IDEA;Visual Studio Code;ApexCharts;React.js Boilerplate;SW;Flutter;Android SDK;Jotai;Redux;Emotion;Zustand;Jest;Storybook;Sentry;Datadog;Laravel;Go;Bitbucket;Python;Django;React Query;NestJS;axios;Kafka;RabbitMQ;OAuth2;JSON;XML;vuex;GitHub Actions;Mocha;Jasmine;NLP;PyTorch;GoLand;FastAPI;Firebase Realtime Database;C++;C;Playwright;Supabase;Capacitor;Vercel;AWS CodeCommit;styled-components;Shopify;WebAssembly;Ant Design;Confluence;MariaDB;WebGL;FPGA;MachineLearning;ASIC;SQL;Pandas;NumPy;Google BigQuery;Tableau;Amazon Quicksight;Matplotlib;Plotly.js;TCP/IP;OpenCV;C#;Mfc;MVVM;Dart;redux-saga;DICOM;Nexacro;Tibero;MSSQL;TortoiseSVN;Dashboards by Keen IO;React Canvas;Konva;JSTL;JSP;Bootstrap;Swift;Windows;GraphQL;React D3 Library;pnpm;Expo;Google Analytics;mobX;L7;Network;Zeplin;Selenium;CodeIgniter;Blueprint;Unreal Engine;R Language;ProProfs Knowledge Base;Microsoft Teams
웹 풀스택 개발자,0.5,Python;Backendless;GitHub;Jira;Java;AWS;RDB;AWS Cloud Development Kit;REST API;Spring Framework;FastAPI;Flask;React;PostgreSQL;Redis;Linux;Kafka;Spring Boot;QA;Nft;Azure Cosmos DB;GitUI;Figma;Golang;gRPC;Git;Docker;Confluence;Kotlin;SQL;Kubernetes;OpenCV;TensorFlow;AI/인공지능;PyTorch;MachineLearning;SwiftUI;Xcode;vscode.dev;Django;MariaDB;MongoDB;NGINX;JavaScript;jQuery;Apache Tomcat;Spring;Flutter;Next.js;Tailwind CSS;Node.js;Prettier;Amazon EC2;Vue.js;TypeScript;ExpressJS;MySQL;Slack;notion.so;Network;Infra;Insight;ISMS;Azure DevOps;Django REST framework;Groovy;Shell;AZURE;C#;C++;NoSql;MSSQL;Celery;HTML5;CSS 3;FW;HW;SW;PCB;Rails;Oracle;GitHub Actions;Terraform;React Native;OpenAPI;C;Embedded;ROS;Microsoft Excel;Notion;JSP;Thymeleaf;Spring Data JPA;Mybatis;GitLab;Argo;Jenkins;Amazon EKS;yolo;RabbitMQ;PHP;Laravel;Elasticsearch;MCU;Asana;Vite;Chakra UI;Microsoft Office 365;Redis Cloud;R Language
안드로이드 개발자,3.547,Android OS;iOS;Kotlin;Jira;Git;Confluence;Swift;Embedded;Embedded Linux;AWS;C++;OpenCV;OpenGL;Linux;PyTorch;Python;REST API;MVVM;Jetpack;Jetpack Compose;Room;Dagger Hilt;Retrofit;OkHttp;Windows;Mac OS X;macOS;Java;Qt;Flutter;React;WebRTC;Flask;JavaScript;Android SDK;Android Studio;QA;Socket.IO;Firebase;C;Node.js;Webpack;Redux;React Native;Recoil;Xcode;XML;Figma;AAC;Coroutine;Flow;Objective-C;Foundation;Dart;Vue.js;SW;Lottie;WebSocket;LiveData
iOS 개발자,2.8573,Android OS;iOS;Kotlin;Jira;Git;Confluence;Swift;Flutter;REST API;React;Windows;Mac OS X;macOS;C++;Java;Qt;Linux;AWS;AZURE;OpenStack;Azure DevOps;Python;QA;Socket.IO;Firebase;Objective-C;Android Studio;Node.js;Webpack;Redux;React Native;Recoil;Xcode;Figma;JavaScript;Foundation;Rxswift;Dart;Vue.js;SW;Android SDK;Lottie;SwiftUI;Notion;GitHub;WebSocket;NestJS;TypeScript
크로스플랫폼 앱개발자,1.1823,Flutter;Linux;Git;Node.js;Firebase Hosting;iOS;Auth0;Dart;Firebase;Android SDK;Kotlin;JavaScript;Figma;Android Studio;Xcode;WebSocket;React Native;AWS;MVVM;AAC;Coroutine;Flow;Java;Spring Framework;jQuery;Vue.js;Android OS;Visual Studio Code;Swift;Git Flow;React;Jira;Python;FastAPI;Flask;PostgreSQL;Redis;Kafka;Spring Boot;HTML5;CSS 3;TypeScript;React Query;Zustand;Redux
게임 클라이언트 개발자,0.5,Cocos2D-X;TypeScript;Unity;Phaser;HTML5;C++;Unreal Engine;OpenProject;Project Reactor;AWS Mobile Hub;iOS;Android OS;C#;Git;REST API;Mfc;React;Next.js;JavaScript;Java;SW;Blueprint;Perforce;Photon;TCP/IP;Network
게임 서버 개발자,0.5,Unity;Photon;TCP/IP;Network;Cocos2D-X;TypeScript;Phaser;HTML5;C++;Unreal Engine;OpenProject;Project Reactor;AWS Mobile Hub
DBA,3.6445,SQL;Azure SQL Database;DB;AWS;Oracle;Infra;MariaDB;MSSQL;MySQL;PostgreSQL;Linux;Windows;SAP;Vertica;NoSql;Azure DevOps;GCP;AZURE;BigData;Mantis;Python;MongoDB;Etl;Kubernetes;NGINX;Django;Docker;Git;ASP.NET;Entity Framework;Java;C;Spring;Spring Boot;Jira;PHP;Selenium;CodeIgniter;Jenkins;GitHub;NestJS;RDB;Redis;Tableau;Snowflake;MSA;Amazon DynamoDB;Amazon ElastiCache;Amazon Aurora;Amazon RDS
빅데이터 엔지니어,5.419,AZURE;AWS;TypeScript;Python;Node.js;Power BI;Amazon Quicksight;Snowflake;SQL;PostgreSQL;Azure DevOps;Git;Docker;REST API;gRPC;AWS Cloud Development Kit;Amazon EKS;Airflow;AWS Glue;Amazon S3;Etl;Elasticsearch;Oracle;Amazon Aurora;C;C++;MATLAB;ROS;SummitDB;Amazon Redshift;Tableau;Jira;Confluence;Slack;PowerBI;R;BigData;MachineLearning;Ubuntu;OpenCV;Kafka;Kubernetes;Pandas;Linux;Windows;DB;MSSQL;React Native;GraphQL;React;TensorFlow;PyTorch;NumPy;scikit-learn;AI/인공지능;Django;MySQL;OpenStack;DeepLearning;Embedded;Swift;SW;vmware;Shell;jQuery;Apache Tomcat;GitHub;JavaScript;Java;Spring;GCP;Google BigQuery;Queue;Amazon SQS;NLP;MongoDB;CUDA;Embedded Linux;K8S;Ansible;Kubeflow;Apache Flink;Grafana;ELK;ERP;Spring Framework;PHP;GraphicsMagick;3D Rendering;Linear;OpenGL;Vulkan;Keras;Network;C#;WPF;PCB;HALCON;MariaDB;NoSql;Selenium;HTML5;CSS 3;Cisco;Transformers;TCP/IP;WSL;R Language
