jcompany_name,scompany_name,company_name_clean,company_tech_stack,company_keywords_jumpit,company_type,industry
오픈엣지테크놀로지,오픈엣지테크놀로지(주),오픈엣지테크놀로지,C++;C;EDA;PyTorch;Linux;JavaScript;Verilog;ES6;Perl;Python;TensorFlow,2호선 역세권 기업;점심지원,중소기업;주식회사;병역특례 인증업체,시스템ㆍ응용 소프트웨어 개발 및 공급업
유아이엠디,(주)유아이엠디,유아이엠디,AI/인공지능;C++;C;PyTorch;SW;OpenCV;DeepLearning;Python;TensorFlow,급성장중;매출액 150% 급성장;재택근무;5호선 역세권 기업;점심지원;매출액 20% 지속성장,중소기업,시스템 소프트웨어 개발 및 공급업
파인더갭,파인더갭(주),파인더갭,CSS 3;Cloud Foundry;GitHub;WebAssembly;Node.js;CISA;Bugcrowd;JSON-RPC;TypeScript;Solidity;JavaScript;SQLite;CISSP;Embedded;ARM,"",중소기업,""
글로벌시스템스,(주)글로벌시스템스,글로벌시스템스,yolo;AI/인공지능;C++;PyTorch;C;DeepLearning;PyQt;Python,자유로운 연차;프리한 복장;점심지원,중소기업,방송장비 제조업
슈프리마,(주)슈프리마,슈프리마,RTOS;C++;C;Embedded Linux;Embedded;ARM;Android OS,주거복지;슈프리마에이치큐 계열사;코스닥;수인분당선 역세권 기업,중소기업;코스닥;주식회사,유선 통신장비 제조업
쏠리드윈텍,(주)쏠리드윈텍,쏠리드윈텍,FPGA,"매출액 500억 기업;쏠리드 계열사;수인분당선 역세권 기업;평균연봉 6,000 이상",중소기업,기타 무선 통신장비 제조업
팀블랙버드,팀블랙버드(주),팀블랙버드,Matplotlib;Google Analytics;Blockchain;GraphQL;NumPy;SQL;ethernet;Git;Google BigQuery;Jupyter;Amazon Athena;DataTables;Python,"평균연봉 상위 10%;육아휴직;급성장중;2호선 역세권 기업;시리즈A 투자유치;평균연봉 7,000 이상",중소기업;주식회사,응용 소프트웨어 개발 및 공급업
페이타랩,(주)페이타랩,페이타랩,C#;AngularJS;Firebase;Java;C++;Sass;Visual Studio;Windows;iOS;WPF;Jenkins;QA;Git;Docker;Slack;NGINX;JavaScript;.NET;Swift;Zeplin;AWS;Android OS;Python,시리즈B 투자유치;스타트업;급성장중,스타트업;중소기업;주식회사;병역특례 인증업체,시스템 소프트웨어 개발 및 공급업
크레스콤,(주)크레스콤,크레스콤,AI/인공지능;PyTorch;Linux;Docker;DeepLearning;Python,급성장중;수인분당선 역세권 기업,중소기업;주식회사;수출입 기업,그 외 기타 정보 서비스업
모비루스,(주)모비루스,모비루스,AI/인공지능;C++;C;PyTorch;Qt;SW;GitHub;Embedded Linux;Keras;MCU;Python;TensorFlow,"주거복지;매출액 100억 기업;급성장중;유연근무제;평균연봉 6,000 이상",중소기업;주식회사,응용 소프트웨어 개발 및 공급업
빌드코퍼레이션,(주)빌드코퍼레이션,빌드코퍼레이션,Framer;Vercel;Figma;GitHub;TailwindCSS;Recoil;Next.js;Pulumi;NestJS;Linear,점심지원,중소기업,그 외 기타 정보 서비스업
이마고웍스,이마고웍스(주),이마고웍스,C;CMake;PostgreSQL;Spring Boot;Windows;QA;TypeScript;AZURE;PyTorch;Docker;Terraform;Confluence;MySQL;JavaScript;Embedded;AWS;Python;TensorFlow;WebGL;Java;C++;OpenGL;React;SQL;Figma;Git;Linux;OpenCV;HTML5;MongoDB;Webpack;Kubernetes,"시리즈C 투자유치;연봉상승률 15% 이상;급성장중;자유로운 연차;3호선 역세권 기업;점심지원;평균연봉 6,000 이상",중소기업;주식회사,응용 소프트웨어 개발 및 공급업
이노버스,(주)이노버스,이노버스,Firebase;Git;Flutter;AWS,급성장중;유연근무제;성과급/상여금,중소기업;병역특례 인증업체,그 외 기타 일반목적용 기계 제조업
큐어스트림,큐어스트림(주),큐어스트림,REST API;SW;Redux;Flutter;Android SDK;iOS;React;Android OS,"평균연봉 상위 10%;연봉상승률 20% 이상;평균연봉 7,000 이상",중소기업,""
엑소시스템즈,(주)엑소시스템즈,엑소시스템즈,Firebase;C++;C;SW;FPGA;R Language;Windows;SQL;Kotlin;Git;PyTorch;Linux;Docker;Network;MySQL;Pandas;Embedded;AWS;Android OS;Python;TensorFlow,스타트업;급성장중;자유로운 연차;휴가비 지원;시리즈A 투자유치,스타트업;중소기업;주식회사;병역특례 인증업체;수출입 기업,전기식 진단 및 요법 기기 제조업
에피소든,(주)에피소든,에피소든,Java;PostgreSQL;Next.js;React;Kotlin;TypeScript;Terraform;Docker;JavaScript;React Native;NestJS;Kubernetes;WebRTC,"연봉상승률 30% 이상;9호선 역세권 기업;평균연봉 6,000 이상",중소기업;외국인 투자기업;주식회사,기타 정보 서비스업
코닉글로리,(주)코닉글로리,코닉글로리,TypeScript;C#;C++;Linux;Network,자유로운 연차;7호선 역세권 기업;매출액 20% 지속성장,중소기업,응용 소프트웨어 개발 및 공급업
혜성테크윈,(주)혜성테크윈,혜성테크윈,Linux;Windows Server;Network;TCP/IP;Embedded;Ccna;Ccnp,영업이익 20% 지속성장;급성장중;점심지원;영업이익 150% 급성장,중소기업;주식회사,유선 통신장비 제조업
콜로세움코퍼레이션,(주)콜로세움코퍼레이션,콜로세움코퍼레이션,Infra;Spring Boot;Next.js;TypeScript;QA;AZURE;Shell;Storybook;Confluence;MySQL;JavaScript;Emotion;Ruby;AWS;Spring Batch;Spring Data JPA;Python;Java;QueryDSL;Perl;React;Jira;Kotlin;jQuery;Git;Slack;GCP;HTML5;Gradle;Mybatis;Amazon RDS,급성장중;자유로운 연차;매출액 150% 급성장;휴가비 지원;2호선 역세권 기업;아기 유니콘;유연근무제;점심지원;매출액 20% 지속성장;성과급/상여금;예비 유니콘;시리즈B 투자유치;연봉상승률 10% 이상;매출액 100억 기업,중소기업,기타 보관 및 창고업
